model,mode,schema,grade,trials,http_200,api_supported,strict_json_rate,lenient_json_rate,schema_valid_rate,http_statuses,first_errors
gemini-3.1-flash-lite,native,s1_flat_scalars,1,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native,s2_enums_and_bounds,2,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native,s3_nested_object,3,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native,s4_array_of_objects,4,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native,s5_optional_and_null,5,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native,s6_union_anyof,6,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
gemini-3.1-flash-lite,native_sanitised,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,native_sanitised,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,native_sanitised,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,native_sanitised,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,native_sanitised,s5_optional_and_null,5,3,2,True,0.667,0.667,0.667,200:2;503:1,response did not contain JSON
gemini-3.1-flash-lite,native_sanitised,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
gemini-3.1-flash-lite,plain,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native,s5_optional_and_null,5,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
groq/openai-gpt-oss-120b,native,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,native_sanitised,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-120b,plain,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native,s5_optional_and_null,5,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
groq/openai-gpt-oss-20b,native,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,native_sanitised,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,plain,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,plain,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,plain,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,plain,s4_array_of_objects,4,3,3,True,0.333,0.333,0.333,200:3,response did not contain JSON
groq/openai-gpt-oss-20b,plain,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
groq/openai-gpt-oss-20b,plain,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native,s4_array_of_objects,4,3,2,True,0.667,0.667,0.667,200:2;400:1,response did not contain JSON
groq/qwen3.6-27b,native,s5_optional_and_null,5,3,0,False,0.0,0.0,0.0,400:3,response did not contain JSON
groq/qwen3.6-27b,native,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s1_flat_scalars,1,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s2_enums_and_bounds,2,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s3_nested_object,3,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s4_array_of_objects,4,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s5_optional_and_null,5,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,native_sanitised,s6_union_anyof,6,3,3,True,1.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s1_flat_scalars,1,3,3,True,0.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s2_enums_and_bounds,2,3,3,True,0.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s3_nested_object,3,3,3,True,0.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s4_array_of_objects,4,3,3,True,0.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s5_optional_and_null,5,3,3,True,0.0,1.0,1.0,200:3,
groq/qwen3.6-27b,plain,s6_union_anyof,6,3,3,True,0.0,1.0,1.0,200:3,
